AverageTemperature,AverageTemperatureUncertainty,City,Year,Month,Day
24.008,2.048,Acapulco,1843,3,1
26.793,1.298,Acapulco,1845,8,1
25.804,1.299,Acapulco,1846,10,1
26.763,1.524,Acapulco,1846,12,1
26.05,1.992,Acapulco,1849,1,1
24.535,1.733,Acapulco,1849,2,1
25.167,1.923,Acapulco,1849,3,1
23.92,1.468,Acapulco,1849,4,1
25.174,1.378,Acapulco,1849,5,1
27.128,1.479,Acapulco,1849,6,1
27.706,1.239,Acapulco,1849,7,1
27.537,1.391,Acapulco,1849,8,1
26.565,1.295,Acapulco,1849,9,1
26.073,1.615,Acapulco,1849,10,1
26.993,1.897,Acapulco,1849,11,1
25.193,1.392,Acapulco,1849,12,1
26.106,2.786,Acapulco,1850,1,1
25.635,1.97,Acapulco,1850,2,1
24.776,2.329,Acapulco,1850,3,1
24.33,1.763,Acapulco,1850,4,1
24.201,1.743,Acapulco,1850,5,1
26.773,1.29,Acapulco,1850,6,1
27.771,1.254,Acapulco,1850,7,1
27.625,1.188,Acapulco,1850,8,1
26.797,1.208,Acapulco,1850,9,1
26.316,1.573,Acapulco,1850,10,1
25.796,1.783,Acapulco,1850,11,1
24.262,1.555,Acapulco,1850,12,1
25.296,1.835,Acapulco,1851,1,1
23.974,1.513,Acapulco,1851,2,1
23.677,1.888,Acapulco,1851,3,1
24.349,1.776,Acapulco,1851,4,1
26.33,1.421,Acapulco,1851,5,1
27.467,1.296,Acapulco,1851,6,1
27.163,1.794,Acapulco,1851,7,1
27.416,1.562,Acapulco,1851,8,1
26.277,1.353,Acapulco,1851,9,1
26.591,2.067,Acapulco,1851,10,1
25.243,1.542,Acapulco,1851,11,1
25.528,2.745,Acapulco,1851,12,1
23.464,2.182,Acapulco,1852,1,1
25.581,2.743,Acapulco,1852,2,1
23.836,2.414,Acapulco,1852,3,1
24.621,2.575,Acapulco,1852,4,1
26.412,1.975,Acapulco,1852,5,1
26.929,1.279,Acapulco,1852,6,1
27.301,1.489,Acapulco,1852,7,1
27.26,2.493,Acapulco,1852,8,1
26.425,1.314,Acapulco,1852,9,1
26.15,1.771,Acapulco,1852,10,1
26.144,2.948,Acapulco,1852,11,1
26.575,1.552,Acapulco,1852,12,1
23.741,1.593,Acapulco,1853,1,1
22.949,1.504,Acapulco,1853,2,1
22.914,1.837,Acapulco,1853,3,1
24.062,1.329,Acapulco,1853,4,1
25.987,1.396,Acapulco,1853,5,1
26.511,1.482,Acapulco,1853,6,1
27.963,1.053,Acapulco,1853,7,1
26.843,1.303,Acapulco,1853,8,1
26.291,1.396,Acapulco,1853,9,1
25.942,1.277,Acapulco,1853,10,1
26.246,1.855,Acapulco,1853,11,1
25.529,1.499,Acapulco,1853,12,1
23.859,2.071,Acapulco,1854,1,1
23.116,1.562,Acapulco,1854,2,1
24.708,1.508,Acapulco,1854,3,1
23.899,1.221,Acapulco,1854,4,1
25.896,1.26,Acapulco,1854,5,1
26.553,1.42,Acapulco,1854,6,1
26.422,1.723,Acapulco,1854,7,1
26.306,1.413,Acapulco,1854,8,1
26.003,1.325,Acapulco,1854,9,1
26.983,1.499,Acapulco,1854,10,1
25.995,1.341,Acapulco,1854,11,1
24.147,2.19,Acapulco,1854,12,1
25.252,2.542,Acapulco,1855,1,1
23.404,2.138,Acapulco,1855,2,1
22.99,2.203,Acapulco,1855,3,1
24.521,1.807,Acapulco,1855,4,1
26.881,1.71,Acapulco,1855,5,1
26.875,1.643,Acapulco,1855,6,1
26.112,1.735,Acapulco,1855,7,1
26.133,1.453,Acapulco,1855,8,1
25.407,1.652,Acapulco,1855,9,1
25.149,1.534,Acapulco,1855,10,1
25.903,1.482,Acapulco,1855,11,1
24.875,2.067,Acapulco,1855,12,1
22.9,2.654,Acapulco,1856,1,1
23.171,1.72,Acapulco,1856,2,1
23.403,1.95,Acapulco,1856,3,1
24.499,1.498,Acapulco,1856,4,1
25.529,1.781,Acapulco,1856,5,1
27.622,1.928,Acapulco,1856,6,1
27.031,1.373,Acapulco,1856,7,1
27.774,1.484,Acapulco,1856,8,1
25.523,1.645,Acapulco,1856,9,1
25.079,1.57,Acapulco,1856,10,1
24.832,2.281,Acapulco,1856,11,1
25.085,1.873,Acapulco,1856,12,1
24.368,1.973,Acapulco,1857,1,1
24.64,1.955,Acapulco,1857,2,1
22.985,1.804,Acapulco,1857,3,1
22.837,2.484,Acapulco,1857,4,1
25.193,1.911,Acapulco,1857,5,1
27.255,1.6,Acapulco,1857,6,1
27.513,1.357,Acapulco,1857,7,1
27.465,1.143,Acapulco,1857,8,1
26.056,1.023,Acapulco,1857,9,1
26.313,1.585,Acapulco,1857,10,1
